staining_id;mouse_id;HC/NOL;genotype;dna_damage_stain_quality_manual;manual_qc
IHC_1;AD1998;HC;OGG1;;
IHC_1;AD2021;HC;APP;;
IHC_1;AD2009;HC;WT;;
IHC_1;AD1868;HC;AO;;
IHC_1;AD1955;NOL;APP;;
IHC_1;AD1928;NOL;WT;;
IHC_1;AD1867;NOL;AO;;
IHC_1;AD1961;NOL;OGG1;;
IHC_2;AD1930;NOL;AO;;
IHC_2;AD2087;NOL;WT;;
IHC_2;AD1872;HC;AO;;
IHC_2;AD2022;HC;APP;;
IHC_2;AD2003;HC;OGG1;;
IHC_2;AD1963;NOL;OGG1;;
IHC_2;AD1926;HC;WT;;
IHC_3;AD2010;HC;WT;;
IHC_3;AD2076;NOL;AO;;
IHC_3;AD1948;HC;AO;;
IHC_3;AD1856;NOL;APP;;
IHC_3;AD1977;HC;OGG1;;
IHC_3;AD1925;HC;APP;;
IHC_3;AD1993;NOL;WT;;
IHC_3;AD1960;NOL;OGG1;;
IHC_4;AD2086;NOL;WT;;
IHC_4;AD1965;NOL;OGG1;;
IHC_4;AD2036;HC;OGG1;;
IHC_4;AD1954;NOL;APP;;
IHC_4;AD1957;NOL;AO;;
IHC_4;AD1869;HC;AO;;
IHC_4;AD1855;NOL;WT;;
IHC_4;AD1958;NOL;OGG1;;
IHC_4;AD1874;NOL;AO;;
IHC_4;AD1923;NOL;APP;;
IHC_4;AD1922;NOL;APP;;
